Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2021-11-22 14:00:01.852750,20,6,25,54,26,102234,0
2021-11-22 14:05:02.064351,20,6,25,53,26,102235,0
2021-11-22 14:10:01.261884,20,6,25,52,27,102238,0
2021-11-22 14:15:01.463261,20,13,25,53,26,102240,0
2021-11-22 14:20:01.720931,20,23,25,53,26,102236,0
2021-11-22 14:25:01.933926,20,18,25,53,26,102237,0
2021-11-22 14:30:02.133661,20,10,25,53,26,102239,0
2021-11-22 14:35:01.342585,20,10,25,53,26,102237,1
2021-11-22 14:40:01.550897,20,15,25,53,26,102240,0
2021-11-22 14:45:01.756271,20,4,25,53,27,102244,0
2021-11-22 14:50:01.963657,20,4,25,54,26,102246,0
2021-11-22 14:55:02.181761,20,10,25,53,27,102255,0
2021-11-22 15:00:01.388868,20,5,25,53,27,102258,0
2021-11-22 15:05:01.590984,20,2,25,53,27,102269,0
2021-11-22 15:10:01.791340,20,2,25,54,27,102271,0
2021-11-22 15:15:01.991846,20,2,25,53,26,102273,0
2021-11-22 15:20:01.250654,20,3,25,53,26,102282,0
2021-11-22 15:25:01.460118,20,2,25,52,26,102295,0
2021-11-22 15:30:01.670277,20,2,24,52,26,102297,0
2021-11-22 15:35:01.870321,19,0,24,53,26,102299,0
2021-11-22 15:40:02.071035,20,0,24,56,25,102314,0
2021-11-22 15:45:01.264805,20,0,23,58,25,102317,0
2021-11-22 15:50:01.481378,20,0,23,58,25,102326,0
2021-11-22 15:55:01.680020,21,0,23,58,25,102322,0
2021-11-22 16:00:01.880223,20,0,23,59,25,102325,0
2021-11-22 16:05:02.091374,21,0,23,58,25,102327,0
2021-11-22 16:10:01.284619,21,0,23,59,25,102328,0
2021-11-22 16:15:01.487075,21,,23,59,25,102330,0
2021-11-22 16:20:01.742112,20,,23,59,25,102335,0
2021-11-22 16:25:01.954767,20,,23,59,25,102328,0
2021-11-22 16:30:02.142519,21,,23,59,24,102329,0
2021-11-22 16:35:01.334632,20,,23,59,24,102341,0
2021-11-22 16:40:01.538757,21,,23,59,24,102349,0
2021-11-22 16:45:01.739748,20,,23,60,24,102348,0
2021-11-22 16:50:01.942389,21,,23,60,24,102350,0
2021-11-22 16:55:02.147349,21,,23,60,24,102357,0
2021-11-22 17:00:01.337172,21,,23,60,24,102366,0
2021-11-22 17:05:01.539381,21,,23,61,24,102365,0
2021-11-22 17:10:01.740502,21,,23,60,24,102369,0
2021-11-22 17:15:01.939085,21,,23,61,24,102381,0
2021-11-22 17:20:01.180667,21,,23,61,24,102388,0
2021-11-22 17:25:01.383013,21,,23,61,24,102391,0
2021-11-22 17:30:01.588295,21,,23,61,24,102394,0
2021-11-22 17:35:01.789837,21,,23,61,24,102406,0
2021-11-22 17:40:01.991768,20,,23,61,24,102399,0
2021-11-22 17:45:01.211815,20,,23,61,24,102406,0
2021-11-22 17:50:01.407170,20,,23,61,24,102414,0
2021-11-22 17:55:01.629839,20,,23,61,24,102415,0
2021-11-22 18:00:01.829936,20,,23,61,24,102419,0
2021-11-22 18:05:02.032512,21,,23,61,24,102413,0
2021-11-22 18:10:01.228856,20,,23,61,24,102414,0
2021-11-22 18:15:01.415714,20,,23,61,24,102418,0
2021-11-22 18:20:01.683707,21,,23,61,24,102424,0
2021-11-22 18:25:01.883034,20,,23,61,24,102431,0
2021-11-22 18:30:02.088323,20,,23,61,24,102437,0
2021-11-22 18:35:01.274652,20,,23,61,24,102438,0
2021-11-22 18:40:01.484156,20,,23,61,24,102448,0
2021-11-22 18:45:01.657512,20,3,22,62,24,102445,0
2021-11-22 18:50:01.860939,20,3,22,62,24,102450,0
2021-11-22 18:55:02.072849,20,3,22,62,24,102455,0
2021-11-22 19:00:01.265917,20,26,23,63,24,102451,1
2021-11-22 19:05:01.468164,20,41,23,62,24,102453,1
2021-11-22 19:10:01.674258,22,2,24,61,25,102456,1
2021-11-22 19:15:01.880052,21,2,24,60,26,102454,1
2021-11-22 19:20:02.136601,21,11,25,59,26,102454,1
2021-11-22 19:25:01.343362,21,2,24,60,26,102456,0
2021-11-22 19:30:01.556807,21,2,24,62,25,102448,1
2021-11-22 19:35:01.755169,21,2,24,60,25,102456,0
2021-11-22 19:40:01.959189,20,2,24,59,25,102461,0
2021-11-22 19:45:02.158915,21,0,24,59,25,102461,0
2021-11-22 19:50:01.353194,20,0,24,59,26,102462,0
2021-11-22 19:55:01.557792,21,0,24,58,26,102464,0
2021-11-22 20:00:01.760488,21,0,24,59,26,102461,1
2021-11-22 20:05:01.961571,21,0,24,59,26,102459,0
2021-11-22 20:10:02.161598,21,0,24,59,26,102460,0
2021-11-22 20:15:01.358754,21,0,24,59,26,102467,0
2021-11-22 20:20:01.607879,21,0,24,58,26,102463,0
2021-11-22 20:25:01.799626,21,0,24,58,26,102451,1
2021-11-22 20:30:01.995485,21,0,24,53,26,102459,0
2021-11-22 20:35:01.197231,20,0,24,44,27,102465,0
2021-11-22 20:40:01.376109,19,0,24,48,26,102473,1
2021-11-22 20:45:01.572290,20,0,24,51,26,102473,0
2021-11-22 20:50:01.764908,20,0,24,53,25,102478,0
2021-11-22 20:55:01.985064,21,0,24,55,26,102486,0
2021-11-22 21:00:01.168084,20,0,24,55,26,102481,0
2021-11-22 21:05:01.359434,22,0,24,54,26,102490,0
2021-11-22 21:10:01.562032,21,0,24,56,26,102492,0
2021-11-22 21:15:01.762669,21,0,24,56,26,102501,1
2021-11-22 21:20:02.025784,21,0,24,56,26,102495,1
2021-11-22 21:25:01.228471,21,0,24,57,26,102490,0
2021-11-22 21:30:01.437038,21,0,24,57,26,102501,0
2021-11-22 21:35:01.627946,20,0,24,57,26,102507,1
2021-11-22 21:40:01.830227,20,0,24,57,26,102508,0
2021-11-22 21:45:02.034216,21,0,24,57,26,102502,0
2021-11-22 21:50:01.221144,20,0,24,57,25,102506,0
