Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2022-01-07 16:40:02.063866,21,21,26,41,28,100949,1
2024-03-30 15:15:01.837824,,112,29,27,24,71685,0
2024-03-30 15:30:01.523102,,166,29,27,24,71685,0
2024-03-30 15:45:01.526951,,127,29,28,24,71685,0
2024-03-30 16:00:01.297528,,109,29,30,24,71685,0
2024-03-30 16:15:02.034737,,121,29,31,24,71685,1
2024-03-30 16:30:01.823988,,93,29,30,24,71685,0
2024-03-30 16:45:01.784741,,70,29,30,24,71685,0
2024-03-30 17:00:01.806521,,36,29,31,24,71685,0
2024-03-30 17:15:01.663464,,26,29,31,24,71685,0
2024-03-30 17:30:01.311546,,18,29,31,24,71685,0
2024-03-30 17:45:01.378552,,8,29,32,24,71685,0
2024-03-30 18:00:01.335163,,3,29,32,24,71685,0
2024-03-30 18:15:01.493005,,3,29,31,24,71685,0
2024-03-30 18:30:01.567238,,2,29,31,24,71685,0
2024-03-30 18:45:01.224741,,1,29,31,24,71685,0
2024-03-30 19:00:01.636536,,1,29,32,24,71685,0
2024-03-30 19:15:01.714637,,0,28,34,24,71685,1
2024-03-30 19:30:02.074837,,0,28,34,24,71685,0
2024-03-30 19:45:02.183384,,0,28,34,24,71685,0
2024-03-30 20:00:01.707496,,0,28,35,24,71685,0
2024-03-30 20:15:01.724710,,0,29,35,24,71685,1
2024-03-30 20:30:02.033219,,0,28,35,24,71685,0
2024-03-30 20:45:02.061447,,0,29,35,24,71685,0
2024-03-30 21:00:01.510531,,0,28,35,24,71685,0
2024-03-30 21:15:01.290526,,0,28,35,24,71685,0
2024-03-30 21:30:01.555663,,0,28,35,24,71685,0
2024-03-30 21:45:01.641282,,0,28,36,24,71685,0
2024-03-30 22:00:02.009921,,0,28,35,24,71685,0
2024-03-30 22:15:02.048637,,2,28,37,24,71685,1
2024-03-30 22:30:01.685311,,,28,35,24,71685,0
2024-03-30 22:45:01.272201,,,28,34,24,71685,0
2024-03-30 23:00:02.196121,,,28,34,24,71685,0
2024-03-30 23:15:02.076104,,,28,34,24,71685,0
2024-03-30 23:30:01.363676,,,28,35,24,71685,0
2024-03-30 23:45:01.341352,,,28,35,24,71685,0
2024-03-31 00:00:01.910119,,0,28,36,24,71685,1
2024-03-31 00:15:02.051454,,,28,36,24,71685,0
2024-03-31 00:30:02.061588,,,27,36,24,71685,0
2024-03-31 00:45:01.904970,,,27,37,24,71685,0
2024-03-31 01:00:01.971211,,,27,36,24,71685,0
2024-03-31 01:15:01.810451,,,27,37,24,71685,0
2024-03-31 01:30:01.857535,,,27,37,24,71685,0
2024-03-31 01:45:01.698656,,,27,38,24,71685,0
2024-03-31 03:00:01.480129,,,27,38,24,71685,0
2024-03-31 03:15:01.804405,,,27,38,24,71685,0
2024-03-31 03:30:01.996291,,,27,38,24,71685,0
2024-03-31 03:45:01.600548,,,27,38,24,71685,0
2024-03-31 04:00:01.327855,,,26,39,24,71685,0
2024-03-31 04:15:02.157417,,,26,38,24,71685,0
2024-03-31 04:30:01.311867,,,26,38,24,71685,0
2024-03-31 04:45:02.073584,,,26,39,24,71685,0
2024-03-31 05:00:01.278869,,,26,39,24,71685,0
2024-03-31 05:15:01.969330,,,26,39,24,71685,0
2024-03-31 05:30:01.993188,,,26,39,24,71685,0
2024-03-31 05:45:01.716763,,,26,40,24,71685,0
2024-03-31 06:00:01.685118,,0,26,39,24,71685,1
2024-03-31 06:15:01.448231,,,26,40,24,71685,0
2024-03-31 06:30:01.260579,,0,26,40,24,71685,1
2024-03-31 06:45:01.936182,,1,26,40,24,71685,1
2024-03-31 07:00:01.938887,,4,26,41,24,71685,0
2024-03-31 07:15:01.659427,,18,26,40,24,71685,0
2024-03-31 07:30:02.140503,,32,26,41,24,71685,1
2024-03-31 07:45:01.871607,,31,26,41,24,71685,0
2024-03-31 08:00:01.723466,,36,26,40,24,71685,0
2024-03-31 08:15:01.527665,,70,26,41,24,71685,0
2024-03-31 08:30:02.034713,,108,26,41,24,71685,0
2024-03-31 08:45:01.937602,,112,26,41,24,71685,0
2024-03-31 09:00:01.430484,,134,26,40,24,71685,0
2024-03-31 09:15:01.511498,,134,26,41,24,71685,0
2024-03-31 09:30:01.221703,,170,27,40,24,71685,0
2024-03-31 09:45:02.059545,,554,19,51,24,71685,0
2024-03-31 10:00:01.516138,,894,19,51,24,71685,1
2024-03-31 10:15:01.434083,,210,25,41,24,71685,0
2024-03-31 10:30:01.956305,,114,27,39,24,71685,0
2024-03-31 10:45:01.963771,,171,27,38,24,71685,0
2024-03-31 11:00:01.919898,,181,28,37,24,71685,0
2024-03-31 11:15:01.893658,,147,28,37,24,71685,1
2024-03-31 11:30:01.221238,,338,29,38,24,71685,0
2024-03-31 11:45:01.266665,,855,28,31,24,71685,0
2024-03-31 12:00:01.936134,,787,21,50,24,71685,0
2024-03-31 12:15:01.783168,,787,19,55,24,71685,0
2024-03-31 12:30:01.887565,,153,27,36,24,71685,0
2024-03-31 12:45:01.838741,,182,28,35,24,71685,0
2024-03-31 13:00:01.440541,,177,28,34,24,71685,0
2024-03-31 13:15:02.083239,,140,28,34,24,71685,0
2024-03-31 13:30:02.203389,,135,28,34,24,71685,0
2024-03-31 13:45:02.201751,,129,28,34,24,71685,0
2024-03-31 14:00:01.424517,,119,28,34,24,71685,0
2024-03-31 14:15:01.337578,,104,28,35,24,71685,0
2024-03-31 14:30:01.269582,,111,28,34,24,71685,0
2024-03-31 14:45:01.255036,,172,28,34,24,71685,0
2024-03-31 15:00:01.239527,,161,29,35,24,71685,0
