Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2021-10-14 22:00:01.306344,22,0,28,47,30,101609,0
2021-10-14 22:15:01.482143,22,,28,47,29,101619,0
2021-10-14 22:30:01.684740,22,0,27,48,28,101602,0
2021-10-14 22:45:01.832936,22,,26,49,28,101606,0
2021-10-14 23:00:01.983593,22,,26,49,28,101587,0
2021-10-14 23:15:01.134351,22,,26,49,28,101582,0
2021-10-14 23:30:01.312751,22,,26,48,28,101575,0
2021-10-14 23:45:01.462341,22,,26,48,28,101562,0
2021-10-15 00:00:01.610792,22,,26,48,28,101534,0
2021-10-15 00:15:01.760273,22,,26,48,28,101539,0
2021-10-15 00:30:01.935963,22,,26,49,28,101522,0
2021-10-15 00:45:02.084107,22,,26,48,28,101510,0
2021-10-15 01:00:01.232616,22,,26,49,27,101496,0
2021-10-15 01:15:01.381667,22,,26,49,27,101483,0
2021-10-15 01:30:01.557630,22,,25,49,27,101456,0
2021-10-15 01:45:01.706408,22,,26,49,27,101448,0
2021-10-15 02:00:01.854945,22,,25,48,27,101425,0
2021-10-15 02:15:02.003420,22,,25,49,27,101408,0
2021-10-15 02:30:01.179580,22,,25,49,27,101399,0
2021-10-15 02:45:01.329505,22,,26,50,27,101380,0
2021-10-15 03:00:01.477324,22,,26,49,27,101355,0
2021-10-15 03:15:01.627641,22,,26,49,27,101333,0
2021-10-15 03:30:01.807504,23,,26,50,27,101312,0
2021-10-15 03:45:01.957848,22,,26,49,27,101297,0
2021-10-15 04:00:02.106764,22,,26,49,27,101267,0
2021-10-15 04:15:01.255941,22,,26,49,27,101256,0
2021-10-15 04:30:01.430772,22,,26,50,27,101238,0
2021-10-15 04:45:01.579332,22,,25,48,27,101225,0
2021-10-15 05:00:01.726921,22,,26,49,27,101209,0
2021-10-15 05:15:01.874630,22,,26,50,27,101185,0
2021-10-15 05:30:02.049537,23,,26,49,27,101168,0
2021-10-15 05:45:01.199096,21,,26,49,27,101155,0
2021-10-15 06:00:01.347295,21,,25,48,27,101152,0
2021-10-15 06:15:01.504962,22,,25,49,27,101149,0
2021-10-15 06:30:01.271082,22,,25,48,27,101126,0
2021-10-15 06:45:01.421840,21,,25,47,27,101102,0
2021-10-15 07:00:01.572490,22,,25,48,27,101076,0
2021-10-15 07:15:01.722355,21,,25,48,27,101055,0
2021-10-15 07:30:01.902943,23,,25,47,27,101034,0
2021-10-15 07:45:02.052945,22,,25,47,27,101010,0
2021-10-15 08:00:01.201347,22,0,26,45,28,100993,0
2021-10-15 08:15:01.349715,23,0,26,45,28,100980,0
2021-10-15 08:30:01.529811,21,0,26,45,28,100958,0
2021-10-15 08:45:01.679025,21,0,26,47,28,100943,0
2021-10-15 09:00:01.835393,23,0,27,44,29,100938,0
2021-10-15 09:15:01.983694,22,,28,42,30,100940,0
2021-10-15 09:30:01.161118,22,0,28,43,29,100937,0
2021-10-15 09:45:01.315995,21,0,26,45,29,100930,0
2021-10-15 10:00:01.464464,22,0,26,45,29,100925,0
2021-10-15 10:15:01.612553,22,0,27,43,29,100927,1
2021-10-15 10:30:01.787468,22,0,27,44,29,100928,0
2021-10-15 10:45:01.934429,22,0,27,44,29,100917,0
2021-10-15 11:00:02.082910,22,0,27,44,29,100902,0
2021-10-15 11:15:01.230609,22,1,27,43,29,100901,0
2021-10-15 11:30:01.407411,22,0,27,46,28,100913,0
2021-10-15 11:45:01.555814,22,3,27,45,29,100901,0
2021-10-15 12:00:01.706391,22,1,27,45,29,100898,0
2021-10-15 12:15:01.856741,22,1,27,45,29,100890,1
2021-10-15 12:30:02.037003,22,0,27,44,29,100870,0
2021-10-15 12:45:01.185740,22,0,27,44,29,100875,1
2021-10-15 13:00:01.334745,22,0,27,44,29,100901,0
2021-10-15 13:15:01.484335,22,0,27,44,29,100902,0
2021-10-28 18:45:02.162558,21,10,20,77,21,101716,1
2021-11-22 13:45:01.648005,21,11,21,74,23,102246,0
