Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2021-04-24 17:00:01.398825,20,33,24,41,26,102105,0
2021-04-24 17:15:01.607599,20,31,25,39,27,102090,0
2021-04-24 17:30:01.881288,20,26,26,39,28,102083,0
2021-04-24 17:45:02.097316,20,25,25,39,27,102087,0
2021-04-24 18:00:01.296994,20,19,25,39,27,102083,0
2021-04-24 18:15:01.509855,20,13,25,40,27,102081,0
2021-04-24 18:30:01.782240,20,9,25,39,28,102069,0
2021-04-24 18:45:01.971400,20,11,25,38,28,102071,0
2021-04-24 19:00:02.167281,20,8,26,38,28,102072,0
2021-04-24 19:15:01.376584,21,6,26,44,28,102064,1
2021-04-24 19:30:01.629272,21,4,25,49,27,102060,1
2021-04-24 19:45:01.838091,21,3,25,52,27,102066,0
2021-04-24 20:00:02.047569,21,1,26,52,28,102067,0
2021-04-24 20:15:01.251606,21,0,26,50,28,102074,0
2021-04-24 20:30:01.522747,21,0,26,44,28,102066,0
2021-04-24 20:45:01.718537,21,0,26,42,28,102074,0
2021-04-24 21:00:01.933653,21,,25,42,27,102082,0
2021-04-24 21:15:02.138491,22,,26,43,28,102089,0
2021-04-24 21:30:01.403767,22,,26,43,28,102089,0
2021-04-24 21:45:01.608854,21,,26,43,28,102097,0
2021-04-24 22:00:01.816758,21,,26,43,28,102096,0
2021-04-24 22:15:02.026467,22,,25,43,28,102103,0
2021-04-24 22:30:01.273534,21,,25,44,27,102122,0
2021-04-24 22:45:01.481285,21,,25,43,27,102130,0
2021-04-24 23:00:01.688722,21,,26,42,28,102141,0
2021-04-24 23:15:01.897688,21,,26,41,28,102140,0
2021-04-24 23:30:02.159152,21,,26,42,28,102150,1
2021-04-24 23:45:01.360778,21,,26,41,28,102145,0
2021-04-25 00:00:01.566855,20,,25,41,27,102148,0
2021-04-25 00:15:01.775110,20,,25,42,27,102146,1
2021-04-25 00:30:02.041908,20,,25,43,27,102139,1
2021-04-25 00:45:01.248997,20,0,25,42,27,102144,1
2021-04-25 01:00:01.457256,20,,25,43,27,102151,1
2021-04-25 01:15:01.666301,20,,25,43,26,102149,0
2021-04-25 01:30:01.937407,20,,25,43,27,102139,0
2021-04-25 01:45:02.133303,19,,24,44,26,102140,0
2021-04-25 02:00:01.333247,19,,24,44,26,102131,0
2021-04-25 02:15:01.547312,20,,24,44,26,102108,1
2021-04-25 02:30:01.817865,19,0,24,44,26,102105,1
2021-04-25 02:45:02.028148,19,,24,45,26,102103,0
2021-04-25 03:00:01.233500,20,,24,45,26,102097,0
2021-04-25 03:15:01.440579,19,,24,45,26,102086,0
2021-04-25 03:30:01.699846,19,,24,44,26,102075,0
2021-04-25 03:45:01.905429,19,,24,44,26,102078,0
2021-04-25 04:00:02.111066,19,,24,45,26,102068,0
2021-04-25 04:15:01.302037,19,,24,45,26,102069,0
2021-04-25 04:30:01.567824,19,,24,44,26,102072,0
2021-04-25 04:45:01.786413,19,,24,43,26,102065,0
2021-04-25 05:00:01.999375,19,,24,44,26,102050,0
2021-04-25 05:15:01.198835,19,0,24,44,26,102061,1
2021-04-25 05:30:01.455712,19,0,24,44,26,102056,0
2021-04-25 05:45:01.660852,19,0,24,43,26,102062,0
2021-04-25 06:00:01.868894,19,0,24,43,26,102075,0
2021-04-25 06:15:02.077877,19,0,24,44,26,102080,0
2021-04-25 06:30:02.007266,19,1,24,44,26,102082,0
2021-04-25 06:45:01.157336,19,3,24,44,26,102080,0
2021-04-25 07:00:01.398956,19,8,24,44,26,102087,0
2021-04-25 07:15:01.605513,19,12,24,43,26,102082,0
2021-04-25 07:30:01.865106,18,22,24,44,26,102084,0
2021-04-25 07:45:02.069283,19,18,24,45,26,102092,0
2021-04-25 08:00:01.267313,19,18,24,45,26,102093,0
2021-04-25 08:15:01.471132,18,24,24,43,26,102101,0
2021-04-25 08:30:01.705669,18,32,24,44,26,102116,1
2021-04-25 08:45:01.908660,18,32,24,44,26,102114,0
2021-04-25 09:00:02.115122,18,39,24,44,26,102124,0
2021-04-25 09:15:01.308603,18,53,24,44,27,102122,0
2021-04-25 09:30:01.568191,18,39,25,43,26,102129,1
2021-04-25 09:45:01.775536,18,41,24,44,26,102131,1
2021-04-25 10:00:01.968792,18,40,24,43,26,102151,0
2021-04-25 10:15:02.165021,19,30,25,41,27,102155,0
2021-04-25 10:30:01.374780,18,41,24,42,26,102162,1
2021-04-25 10:45:01.568290,18,37,24,42,26,102167,0
2021-04-25 11:00:01.783454,18,39,24,41,26,102194,0
2021-04-25 11:15:01.972034,18,83,24,42,26,102198,1
2021-04-25 11:30:01.240677,18,73,25,40,27,102211,0
2021-04-25 11:45:01.439366,18,36,24,41,26,102200,0
2021-04-25 12:00:01.620133,18,34,24,42,26,102195,0
2021-04-25 12:15:01.826365,18,72,24,42,26,102174,0
2021-04-25 12:30:02.099884,18,75,24,41,26,102168,0
2021-04-25 12:45:01.288347,18,70,25,39,27,102151,0
2021-04-25 13:00:01.495787,18,42,24,41,26,102143,0
2021-04-25 13:15:01.698882,18,37,24,40,26,102139,0
2021-04-25 13:30:01.958067,19,53,24,40,27,102138,0
2021-04-25 13:45:02.159273,19,60,25,40,27,102129,0
2021-04-25 14:00:01.369646,18,60,25,39,27,102109,0
2021-04-25 14:15:01.575510,19,47,25,40,27,102114,0
2021-04-25 14:30:01.772727,19,42,24,40,27,102115,0
2021-04-25 14:45:01.966941,18,53,25,39,27,102118,0
2021-04-25 15:00:02.131520,19,51,24,40,27,102109,0
2021-04-25 15:15:01.362941,19,46,25,39,27,102093,0
2021-04-25 15:30:01.586796,18,52,25,39,27,102107,0
2021-04-25 15:45:01.736732,18,60,25,39,27,102105,0
2021-04-25 16:00:01.939160,20,45,25,39,27,102078,0
2021-04-25 16:15:02.086827,19,43,25,40,27,102075,0
2021-04-25 16:30:01.340846,19,32,25,39,27,102078,0
